Κωδικός,Ρόλος,Κατάσταση,Κεφάλαια,Θέματα,Εξαγωγή,Σημείωση
SRC-0A594EACC0,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; Ερευνητικά ερωτήματα; Μετρικές; Στατιστική ανάλυση; Threats to validity","resilience definition; reference curve; failure profile; recovery profile; repeated disruptions",ναι,"Κύρια πηγή για process-based resilience και curve-based recovery metrics· η multi-agent μεθοδολογία θα προσαρμοστεί ρητά σε single-agent χρήση."
SRC-0AEF7EF16A,κύρια,επαληθευμένη,"Σχετικές εργασίες; Επιλογή μοντέλων; Μεθοδολογία; Πειραματικά σενάρια; Μετρικές","Bayesian robust RL; URBE; changing dynamics; GridWorld; recovery; conservativeness",ναι,"Ισχυρός υποψήφιος adaptive-robust model/baseline και άμεσο evidence για recovery μετά από dynamic change· απαιτεί feasibility pilot."
SRC-D14764616F,κύρια,επαληθευμένη,"Σχετικές εργασίες; Πειραματικό περιβάλλον; Agent architectures; Μετρικές","context switching; model reuse; GridWorld; changing rules; repeated contexts",ναι,"Άμεση τεκμηρίωση για changing GridWorld, recall, adaptation και novel-versus-recurring regimes."
SRC-91D56A10CF,κύρια,επαληθευμένη,"Σχετικές εργασίες; Ερευνητικά ερωτήματα; Μοντέλα; Non-stationarity scenarios; Περιορισμοί","structured non-stationarity; latent context; reward shift; dynamics shift; extrapolation",ναι,"Κεντρική πηγή για predictive latent-context adaptation· δεν καλύπτει arbitrary changepoints."
SRC-153C917DE1,υποστηρικτική,επαληθευμένη,"Σχετικές εργασίες; Πειραματικό περιβάλλον; Μοντέλα; Μετρικές; Threats to validity","contextual meta-gradients; adaptive exploration; gridworld; change rate; context signals",ναι,"Τεκμηριώνει adaptive exploration και controlled GridWorld shifts· πλήρης meta-gradient υλοποίηση απαιτεί feasibility check."
SRC-3A5E2C9E2C,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Πειραματικό πρωτόκολλο; Μετρικές; Threats to validity","safe reinforcement learning; CMDP; safety cost; constraint violations; GridWorld",ναι,"Διαχωρίζει safety από robustness/resilience και επιβάλλει κοινή αναφορά utility, cost, violations και recovery."
SRC-7EFBF9DA62,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Μοντέλο αβεβαιότητας; Σχετικές εργασίες; Threats to validity","aleatoric uncertainty; epistemic uncertainty; calibration; OOD; Bayesian approximation",ναι,"Θεμελιώνει την ταξινομία αβεβαιότητας· δεν επιλέγει από μόνη της uncertainty estimator ή agent."
SRC-21EBE15D15,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; Πειραματικό περιβάλλον; Train-test protocol; Μετρικές; Threats to validity","zero-shot generalization; contextual MDP; controllable factors; PCG; interpolation; extrapolation",ναι,"Διαχωρίζει frozen-policy zero-shot testing από online adaptation/recovery και ορίζει environment-plus-protocol benchmark design."
SRC-2455B5D0A7,υποστηρικτική,επαληθευμένη,"Σχετικές εργασίες; Πειραματικό πρωτόκολλο; Online adaptation; Threats to validity","test-time adaptation; online adaptation; streaming data; error accumulation; catastrophic forgetting",ναι,"Χρήσιμη για adaptation regimes και leakage controls· η supervised taxonomy δεν μεταφέρεται αυτούσια σε RL."
SRC-23A2C07D09,υποστηρικτική,επαληθευμένη,"Σχετικές εργασίες; Agent architectures; Safety mechanisms; Πειραματικό πρωτόκολλο; Threats to validity","runtime assurance; simplex; monitor; trusted fallback; intervention delay; formal verification",ναι,"Τεκμηριώνει shield/fallback architecture· δεν αποτελεί learning ή resilience mechanism και απαιτεί χωριστή αναφορά interventions."
SRC-4000D2B40A,κύρια,επαληθευμένη,"Πειραματικός σχεδιασμός; Benchmark architecture; Μετρικές; Αναπαραγωγιμότητα; Threats to validity","behavioural unit tests; diagnostic experiments; severity scaling; interaction budget; reproducibility",ναι,"Θεμελιώνει decomposition σε targeted diagnostics και environment–interaction–analysis protocols αντί ενός aggregate leaderboard."
SRC-211B10ADBA,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Generalization taxonomy","generalization; overfitting; exploration; MDP components",ναι,"Formal taxonomy της γενίκευσης· survey και όχι πρωτογενής εμπειρική απόδειξη."
SRC-A6616BE773,υποστηρικτική,επαληθευμένη,"Σχετικές εργασίες; Detection baselines; Μετρικές","OOD detection; maximum softmax probability; AUROC; AUPR",ναι,"Απλό supervised OOD baseline· δεν είναι RL change detector ούτε calibrated confidence."
SRC-DBDFB80961,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; Bayesian agents; Exploration; Risk","Bayesian RL; posterior uncertainty; Bayes-adaptive MDP; exploration-exploitation",ναι,"Κεντρικό υπόβαθρο για Bayesian/adaptive candidates και uncertainty-aware exploration."
SRC-87C9BF9456,υπόβαθρο,επαληθευμένη,"Θεωρητικό υπόβαθρο; MDP; GridWorld; Model uncertainty","decision making under uncertainty; MDP; POMDP; Q-learning; GridWorld",ναι,"Ακαδημαϊκό εγχειρίδιο για ορισμούς και controlled environment· όχι empirical superiority evidence."
SRC-BE5B937542,υποστηρικτική,επαληθευμένη,"Safe RL; CMDP; Costs; Shields; Threats","CMDP; constraints; safety cost; Lagrangian; shields",ναι,"Πρόσφατη τεχνική survey· χρησιμοποιείται μαζί με παλαιότερες πρωτογενείς και established πηγές."
SRC-D52DF7B9A4,κύρια,επαληθευμένη,"Baselines; Tabular RL; GridWorld; Online behavior","Q-learning; off-policy TD; Sarsa; Cliff Walking; maximization bias",ναι,"Θεμελιώδης baseline και διάκριση clean-optimal target από exploratory online risk."
SRC-486FAE4C93,υπόβαθρο,επαληθευμένη,"Trustworthiness; Risk framing; Evaluation governance","AI RMF; valid and reliable; safe; secure and resilient; measure",ναι,"Θεσμικό background· δεν ορίζει RL resilience metrics ή algorithm."
SRC-98623817E7,απόρριψη,επαληθευμένη,"","adversarial machine learning; security taxonomy",όχι,"Υψηλής ποιότητας NIST πηγή αλλά εκτός του τρέχοντος non-adversarial uncertainty/dynamic-environment scope."
SRC-0F8A6588DC,κύρια,επαληθευμένη,"Σχετικές εργασίες; Πειραματικό περιβάλλον; Taxonomy αλλαγών; Μετρικές; Threats to validity","NovGrid; novelty adaptation; object change; action change; recovery; adaptive efficiency",ναι,"Κεντρική benchmark πηγή για sudden-change injection και χωριστές μετρικές πτώσης, ανάκαμψης και τελικής επίδοσης."
SRC-3F84F52F97,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Generalization protocol; GridWorld specification; Threats to validity","contextual MDP; explicit context; hidden context; ID; OOD; context distributions",ναι,"Θεμελιώνει resolved context variables, reproducible train/test distributions και τη διάκριση static generalization από online recovery."
SRC-0406E13B97,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Safety metrics; Non-stationarity taxonomy; Threats to validity","safe continual RL; changing constraints; adaptation time; CMDP; soft guarantees",ναι,"Πρόσφατος χάρτης πεδίου για performance και safety κατά την προσαρμογή· οι κεντρικοί αλγοριθμικοί ισχυρισμοί απαιτούν primary-source verification."
SRC-B88D51FA3F,κύρια,επαληθευμένη,"Ερευνητικό ερώτημα; Σχετικές εργασίες; Πειραματικό περιβάλλον; Μετρικές; Πειραματικό πρωτόκολλο; Threats to validity","online adaptation; sudden novelty; NovGrid; adaptive efficiency; transfer AUC; exploration; knowledge preservation",ναι,"Κεντρική συγκρίσιμη διατριβή για sudden change, recovery metrics και GridWorld/NovGrid· οι σύνθετες μέθοδοι δεν υιοθετούνται αυτόματα."
SRC-8E12FE2688,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Αβεβαιότητα ενεργειών; Πειραματικά scenarios; Robust baselines; Μετρικές","policy execution uncertainty; action failure; probabilistic perturbation; robust Bellman; sample complexity",ναι,"Τεκμηριώνει το σενάριο εκτέλεσης λανθασμένης ενέργειας με severity ρ· αφορά robustness και όχι recovery."
SRC-71F2ECA651,υπόβαθρο,επαληθευμένη,"Θεωρητικό υπόβαθρο; Ιστορική εξέλιξη robust RL; Σχετικές εργασίες; Περιορισμοί","robust RL; minimax; H-infinity; model mismatch; disturbance",ναι,"Ιστορική θεμελίωση worst-case robustness· δεν αποτελεί άμεσο μοντέλο προσαρμογής ή καταλληλότερο GridWorld baseline."
SRC-7456165CEA,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Change detection; Adaptive baselines; Πειραματικό πρωτόκολλο; Μετρικές; Threats to validity","piecewise-stationary MDP; Bayesian change detection; false alarms; detection delay; detector-triggered restart; regret",ναι,"Κεντρική πηγή για unknown abrupt changes, χωριστές detector metrics και απλό detection-plus-reset adaptation baseline· απαιτεί feasibility pilot."
SRC-620F17076C,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Observation uncertainty; Robust baselines; Πειραματικά scenarios; Μετρικές; Threats to validity","true state; observed state; SA-MDP; adversarial observation; policy smoothness; action consistency",ναι,"Τεκμηριώνει worst-case observation robustness και τη διάκριση observation corruption από dynamics/action perturbation· δεν ισοδυναμεί με ordinary stochastic noise ή recovery."
SRC-A62DDB9298,απόρριψη,επαληθευμένη,"","Safety Gridworld; EWC; DQN; catastrophic forgetting; course project",όχι,"Θεματικά σχετικό αλλά μη peer-reviewed course report με αδύναμο protocol και αποτυχημένη κύρια EWC αξιολόγηση· διατηρείται μόνο ως implementation warning."
SRC-D30B6E2BD6,απόρριψη,επαληθευμένη,"","duplicate; Safety Gridworld; EWC; DQN",όχι,"Ακριβές διπλότυπο του SRC-A62DDB9298· δεν αποτελεί ανεξάρτητη πηγή και δεν εξάγεται."
SRC-660560956D,κύρια,επαληθευμένη,"Σχετικές εργασίες; Taxonomy αλλαγών; Πειραματικό περιβάλλον; Adaptive baselines; Μετρικές; Threats to validity","repeated reward shifts; abrupt change; gradual drift; reactive exploration; replay contamination; context recall",ναι,"Κεντρική εμπειρική πηγή για repeated reward/observation/dynamics shifts, exploration reset και replay failure modes· deep ICM παραμένει feasibility candidate."
SRC-702F9AB94C,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Contextual non-stationarity; Σχετικές εργασίες; Agent taxonomy; Train-test protocol; Threats to validity","block contextual MDP; hidden context; zero-shot inference; interpolation; extrapolation; identifiability",ναι,"Διακρίνει history-conditioned zero-shot context inference από online learning και τεκμηριώνει τα όρια smooth/identifiable task families."
SRC-3B01300AF5,απόρριψη,επαληθευμένη,"","dynamic GridWorld; PPO; DQN; Q-learning; reproducibility failure",όχι,"Θεματικά σχετική αλλά μη επαρκώς αναπαραγώγιμη σύγκριση με ασαφή environments, metrics, statistics και code artifacts· δεν υποστηρίζει algorithm rankings."
SRC-3C543330E4,υπόβαθρο,επαληθευμένη,"Θεωρητικό υπόβαθρο; Non-stationarity; Computational trade-offs; Adaptive baselines; Threats to validity","local MDP change; computational lower bound; SETH; restart; exploration; Lazy-QVI",ναι,"Θεωρητικό rationale ότι μικρές αλλαγές μπορεί να έχουν global update cost· υποστηρίζει comparison continual-update versus restart χωρίς να αποδεικνύει empirical superiority."
SRC-4B456A9363,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Adaptive baselines; Μετρικές; Hyperparameter protocol; Threats to validity","sliding window; stale data; recency; dynamic regret; variation budget; function approximation",ναι,"Θεμελιώνει recent-memory mechanisms και το window bias–variance trade-off· ο πλήρης SW-OPEA δεν αποτελεί προεπιλεγμένη υλοποίηση."
SRC-0A8E4489E8,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Change detection; Adaptive baselines; Πειραματικό πρωτόκολλο; Threats to validity","MASTER; multi-scale detection; stationarity tests; adaptive restart; prior knowledge; dynamic regret",ναι,"Τεκμηριώνει non-oracle multi-scale restart και την ανάγκη επισήμανσης oracle reset/window tuning· το πλήρες black-box algorithm είναι εκτός βασικού implementation scope."
SRC-BB9CAB4CBB,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Μοντέλο αβεβαιότητας; Robust baselines; Change detection; Threats to validity","aleatoric uncertainty; epistemic uncertainty; uncertain MDP; model uncertainty; changing distributions; conservativeness",ναι,"Διακρίνει stochasticity από reducible model uncertainty και prediction-error evidence από calibrated detection· δεν επιλέγει συγκεκριμένο GridWorld agent."
SRC-8396F66954,υπόβαθρο,επαληθευμένη,"Θεωρητικό υπόβαθρο; Safety boundaries; Distribution shift; Μετρικές; Threats to validity","distribution shift; safe exploration; reward hacking; side effects; safety cost",ναι,"Οριοθετεί distribution-shift failure, exploration safety και specification failures ώστε recovery και safety να μην συγχέονται."
SRC-67AB8572A9,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Agent taxonomy; Transfer metrics; Context recall; Threats to validity","transfer learning; continual learning; generalization; context recall; negative transfer; mastery",ναι,"Διακρίνει transfer, continual adaptation, zero-shot generalization και recall και απαιτεί no-transfer comparator για negative transfer."
SRC-5775601BD7,κύρια,επαληθευμένη,"Σχετικές εργασίες; Continual learning; Repeated changes; Baselines; Μετρικές; Threats to validity","loss of plasticity; catastrophic interference; repeated visits; reset baseline; activation collapse; relearning",ναι,"Κεντρική πηγή για τη διάκριση forgetting από loss of plasticity και για recovery diagnostics ανά repeated regime occurrence."
SRC-D6335D382B,υποστηρικτική,επαληθευμένη,"Σχετικές εργασίες; Continual learning; Agent architectures; Μετρικές; Threats to validity","policy consolidation; task boundaries; policy KL; stability-plasticity; behavioral retention",ναι,"Task-agnostic multi-timescale policy retention· deep PPO method με over-consolidation και computational-cost περιορισμούς."
SRC-AD85505AC2,απόρριψη,επαληθευμένη,"","duplicate edition; policy consolidation; continual RL",όχι,"ArXiv edition της ίδιας εργασίας με το canonical PMLR SRC-D6335D382B· διατηρείται αλλά δεν μετρά ως ανεξάρτητο evidence."
SRC-B2A9EDBBDA,απόρριψη,επαληθευμένη,"","selective forgetting; post-deployment RL; conceptual framework; no experiments",όχι,"Speculative non-peer-reviewed framework χωρίς υλοποιημένο algorithm, benchmark ή empirical validation."
SRC-90A20ED43A,κύρια,επαληθευμένη,"Σχετικές εργασίες; Agent architectures; Post-change adaptation; Πειραματικά scenarios; Μετρικές; Threats to validity","ERPO; evolutionary adaptation; policy reuse; structural shift; warm start; negative transfer",ναι,"Post-shift policy adaptation για μεγάλες discrete navigation μετατοπίσεις· απαιτεί scratch/warm-start comparators και feasibility pilot."
SRC-4E5300CD15,υποστηρικτική,επαληθευμένη,"Θεωρητικό υπόβαθρο; Robust MDPs; Model uncertainty; Online planning; Μετρικές; Trade-offs; Threats to validity","robust sparse sampling; generative model; Total Variation; model misspecification; conservativeness; failure rate",ναι,"Robust online-planning evidence με bounded model error· δεν είναι change detector ή continued-learning adaptation mechanism."
SRC-1741644D7F,απόρριψη,επαληθευμένη,"","duplicate edition; robust sparse sampling; arXiv; AAAI-26",όχι,"ArXiv έκδοση της ίδιας εργασίας με το canonical AAAI-26 SRC-4E5300CD15· διατηρείται χωρίς διπλή καταμέτρηση."
SRC-DC63A2D5E7,απόρριψη,επαληθευμένη,"","duplicate; context switching; hierarchical state abstraction; GridWorld",όχι,"Δεύτερο scrape της ίδιας εργασίας με το canonical SRC-D14764616F· δεν αποτελεί ανεξάρτητο evidence."
SRC-797302A5EE,απόρριψη,επαληθευμένη,"","robust PPO; non-stationary RL; thesis metadata; full text unavailable",όχι,"Διαθέσιμα μόνο institutional metadata και abstract· επανεξετάζεται εάν προστεθεί πλήρες thesis PDF."
SRC-49A9ACCA53,απόρριψη,επαληθευμένη,"","seminar transcript; safe RL; non-stationary CMDP; transcription errors",όχι,"YouTube transcript χρήσιμο μόνο για discovery primary papers· δεν παρέχει σταθερή citation-ready τεκμηρίωση."
SRC-2717517D61,απόρριψη,επαληθευμένη,"","OmniSafe; software framework; SafeRL implementations; repository",όχι,"Διατηρείται ως implementation resource· το README και η λίστα algorithms δεν αποτελούν ανεξάρτητο scientific evidence."
SRC-3996B2EE96,απόρριψη,επαληθευμένη,"","SafeRL baselines; GitHub index; bibliography discovery; software links",όχι,"Community-maintained index χωρίς systematic-review ή κοινό benchmark protocol· χρησιμοποιείται μόνο για discovery."
SRC-B4BE53C707,απόρριψη,επαληθευμένη,"","SafeAI workshop; event page; accepted-paper index; no proceedings",όχι,"Future workshop landing page χωρίς proceedings ή σταθερά camera-ready papers· οι επιμέρους εργασίες θα αξιολογούνται ξεχωριστά."
SRC-AB4BE17ED0,απόρριψη,επαληθευμένη,"","multi-agent reinforcement learning; stochastic games; opponent non-stationarity; scope",όχι,"Υψηλής ποιότητας MARL survey αλλά εκτός του τρέχοντος single-agent environmental-change scope."
SRC-EBB14FC4CB,κύρια,επαληθευμένη,"Θεωρητικό υπόβαθρο; Non-stationarity; Adaptive baselines; Exploration under drift; Μετρικές; Threats to validity","variation budget; sliding window; confidence widening; BORL; dynamic regret; drifting MDP",ναι,"Κεντρική θεωρητική πηγή για drifting rewards/transitions, stale-data forgetting και budget-free adaptive tuning· πλήρεις algorithms εκτός βασικού implementation scope."
SRC-E05A14A571,υποστηρικτική,επαληθευμένη,"Benchmark design; Generalization; Environment distributions; Stress testing; Threats to validity","UED; PAIRED; minimax regret; difficult-but-solvable; curriculum; zero-shot transfer",ναι,"Τεκμηριώνει solvable adaptive environment generation και διαχωρίζει zero-shot transfer από online adaptation· πλήρης multi-agent training δεν απαιτείται."
SRC-B72D65A330,υποστηρικτική,επαληθευμένη,"Safe RL; Constraint modeling; Μετρικές; Experimental protocol; Threats to validity","CMDP; chance constraint; unsafe states; instantaneous safety; almost-sure guarantee; conservative approximation",ναι,"Ορίζει διαφορετικά safety feasible sets και απαιτεί δήλωση guarantee type· survey, όχι adaptation evidence."
SRC-CD5F67F3E6,υπόβαθρο,επαληθευμένη,"Baselines; Deep RL; Policy optimization; Implementation details; Threats to validity","PPO; clipped surrogate; KL penalty; on-policy; minibatch epochs",ναι,"Θεμελιώδης PPO πηγή για ακριβή baseline περιγραφή· clipping δεν ισοδυναμεί με environmental robustness."
SRC-9DCA1F02C1,κύρια,επαληθευμένη,"Benchmark design; Generalization; Train-test protocol; Μετρικές; Αναπαραγωγιμότητα","Procgen; procedural levels; held-out seeds; overfitting; sample efficiency; generalization gap",ναι,"Κεντρικό evidence για disjoint level distributions και fixed-sequence memorization controls· δεν είναι online-change benchmark."
SRC-B9111B3600,απόρριψη,επαληθευμένη,"","genetic algorithm; dynamic GridWorld; MiniGrid; Q-learning; unmatched comparison",όχι,"GA/FSM και Q-learning συγκρίνονται με διαφορετικά starts, rewards και environment setups· δεν στηρίζει algorithm ranking."
SRC-77CEB5795F,απόρριψη,επαληθευμένη,"","duplicate transcript; safe non-stationary RL; seminar",όχι,"Ίδια αυτόματη απομαγνητοφώνηση με SRC-49A9ACCA53· διατηρείται χωρίς διπλή καταμέτρηση."
SRC-081F931CFA,απόρριψη,επαληθευμένη,"","adversarial RL; mixed state-action attack; ASA-PPO; threat model",όχι,"Τεχνικά σχετική αλλά αφορά adaptive malicious attacker και όχι το βασικό non-adversarial uncertainty scope."
SRC-B58805342F,απόρριψη,επαληθευμένη,"","continuous shield; LTLt; realizability; formal safety; robotics",όχι,"Υψηλής ποιότητας αλλά redundant continuous-control shielding πηγή· το discrete runtime-assurance protocol καλύπτεται ήδη."
SRC-41B78C510C,απόρριψη,επαληθευμένη,"","autonomous driving; CARLA; DQN; lane keeping; collision avoidance",όχι,"Application paper χωρίς controlled environmental shifts, resilience metrics ή matched adaptation baselines."
